id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
78,kurly,타이거 생강 커큐민진저샷 10개입,타이거모닝,31000.0,21500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/e7f79b2e-eb6e-45d5-a980-2c976eb30d46.jpg,78
79,kurly,석류 착즙주스 1L,DIMES,,5990,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1626692835915l0.jpg,79
80,kurly,지노프레쉬 질유산균 (30일분),지노프레쉬,48000.0,30600,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/fbf31836-c095-413f-9fc5-b46256389e72.jpg,80
81,kurly,프로메가 알티지 오메가3 듀얼 (30일분),종근당건강,19900.0,12900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/3b04d174-6604-4702-a9f9-a46b9c2f4499.jpg,81
82,kurly,지리산 꿀 2종,지리산한봉영농조합,,19800,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1525329011108l0.jpg,82
83,kurly,지중해 올리브오일 30포,푸드올로지,46000.0,32800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/f653a2f0-a222-40d2-82d6-1cf4f263998d.jpg,83
84,kurly,초임계 알티지(rTG) 오메가3 알파 (30일분),닥터린,24000.0,9900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/6021170c-357c-4fd6-a4ab-07c693a14595.jpg,84
85,kurly,홍초 석류 900ml,청정원,8980.0,7980,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/dfea7f71-4977-4380-a6bc-dd6aa4e7396f.jpg,85
86,kurly,100억 유산균 (30일분),리얼닥터,26900.0,13900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/290effd4-b809-4a41-8eb2-019f1613eefe.jpg,86
87,kurly,골드카무트효소 선물세트 90포,그레인온,45900.0,40900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/46d80cf0-3585-4a4f-85de-e2a6dc8d3a8a.jpg,87
88,kurly,뉴케어 마이키즈 24개입 5종 (택1),대상웰라이프,48000.0,32400,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/c33dde6b-c141-43b3-98e8-41f61120dfec.jpg,88
89,kurly,홍삼정 에브리타임 소프트 (30일분)(+쇼핑백증정),정관장,77000.0,65450,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/1a1b92a0-31cf-4454-98bb-738d405c0d21.jpg,89
90,kurly,슈퍼콜라겐 리프트샷 28포 (쇼핑백 별도구매),바이탈뷰티,,500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/36c98be0-6733-4f41-b95b-292d313ceb0f.jpg,90
91,kurly,홍삼정 에브리타임 소프트 (20일분)(+리본포장 & 쇼핑백증정),정관장,54000.0,43200,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/01b8e470-3d73-4fea-8817-dd5bb8667eee.jpg,91
92,kurly,마이밀 마시는 뉴프로틴 오리지널 16팩,대상웰라이프,45000.0,19500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/b4b10737-e3f4-4452-be24-1bba520820c9.jpg,92
93,kurly,국산 진한 팥물 500mL 2종,소이퀸,,8500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/022ee7e1-27c2-4b40-8b70-e51588f11b4a.jpg,93
94,kurly,유자청 580g,자임,8900.0,7900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/92d44bc5-e6c9-4e15-a093-44ea83adf502.jpg,94
95,kurly,프라임 유산균 (100일분),드시모네,208000.0,145600,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/ccfc5f10-5fae-4059-91ba-5eef5c385c41.jpg,95
96,kurly,브이케어 파인애플맛 28정,니아르,45000.0,29900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/8ab242de-a6ec-460f-9fe0-be0ba72411d2.jpg,96
